split,candidate_model,judge,clusters,condition_shift_B_minus_A,ci_low,ci_high,p_ttest
abductive,Llama-3.1-8B,Qwen2.5-32B,397,0.06367758186397986,0.05126015014390687,0.07609501358405284,1.986181361001035e-21
abductive,Llama-3.1-8B,GPT-4o,397,0.09158690176322418,0.07792684039532365,0.10524696313112471,3.774918170797224e-33
abductive,Qwen2.5-7B,Qwen2.5-32B,397,0.06060453400503777,0.03671435114797544,0.08449471686210011,9.180729517093929e-07
abductive,Qwen2.5-7B,GPT-4o,397,0.05612090680100756,0.04581997167015736,0.06642184193185775,1.1125248910602484e-23
control,Llama-3.1-8B,Qwen2.5-32B,30,0.02,0.0004860565120168338,0.039513943487983164,0.04490545079061446
control,Llama-3.1-8B,GPT-4o,30,-0.011999999999999999,-0.035583681016687164,0.011583681016687166,0.30662899743629957
control,Qwen2.5-7B,Qwen2.5-32B,30,-0.004666666666666666,-0.011651308629996873,0.0023179752966635417,0.18228925250955885
control,Qwen2.5-7B,GPT-4o,30,-0.0026666666666666666,-0.012221141374189271,0.006887808040855939,0.5725145639415321
