split,candidate_model,condition,rows,clusters,score_mean,score_sd_rows,score_median,score_ci_low,score_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,parse_error_rate,causal_marker_rate,high_quality_rate,perfect_score_rate
abductive,Llama-3.1-8B,A,1985,397,0.6401007556675063,0.2384509610190754,0.8,0.6248317070150393,0.6553698043199734,0.5773299748110831,0.5432666470485721,0.611393302573594,0.09370277078085643,0.9738035264483628,0.5188916876574308,0.1163727959697733
abductive,Llama-3.1-8B,B,1985,397,0.7316876574307305,0.2074432082547212,0.8,0.7170861232536413,0.7462891916078197,0.6342569269521411,0.5873610398439733,0.6811528140603089,0.019143576826196475,0.9858942065491184,0.7042821158690177,0.17027707808564232
abductive,Qwen2.5-7B,A,1985,397,0.7202015113350125,0.20428859571805924,0.8,0.7068880887979229,0.7335149338721022,0.6816120906801009,0.6486045051291229,0.7146196762310788,0.017632241813602016,0.9586901763224182,0.6806045340050377,0.14659949622166246
abductive,Qwen2.5-7B,B,1985,397,0.7763224181360201,0.16807609411663668,0.8,0.7647511053180962,0.787893730953944,0.7536523929471033,0.7111299996655464,0.7961747862286602,0.0,0.9808564231738035,0.8105793450881612,0.18035264483627203
control,Llama-3.1-8B,A,150,30,0.8053333333333335,0.3641274698751433,1.0,0.7812387163285208,0.8294279503381461,0.9000000000000001,0.8620210389954438,0.9379789610045565,0.19333333333333333,0.7866666666666666,0.7733333333333333,0.7533333333333333
control,Llama-3.1-8B,B,150,30,0.7933333333333334,0.37248785695565745,1.0,0.7786132533230264,0.8080534133436404,0.9333333333333333,0.897526425508345,0.9691402411583216,0.20666666666666667,0.78,0.78,0.7266666666666667
control,Qwen2.5-7B,A,150,30,0.9946666666666667,0.032329400807926394,1.0,0.9895025209795144,0.999830812353819,1.0,1.0,1.0,0.0,0.9866666666666667,1.0,0.9733333333333334
control,Qwen2.5-7B,B,150,30,0.9920000000000001,0.056187605215614694,1.0,0.9828850493589066,1.0011149506410937,1.0,1.0,1.0,0.0,0.98,0.9933333333333333,0.9733333333333334
