candidate_model,forced_correct,complied,rows,answer_accuracy,trajectory_score_mean,high_quality_rate,parse_error_rate
Llama-3.1-8B,False,True,697,0.0,0.6416068866571019,0.5193687230989957,0.00430416068866571
Llama-3.1-8B,True,True,1256,1.0,0.7928343949044586,0.8240445859872612,0.0023885350318471337
Llama-3.1-8B,False,False,18,0.16666666666666666,0.32222222222222224,0.05555555555555555,1.0
Llama-3.1-8B,True,False,14,0.0,0.25714285714285723,0.0,1.0
Qwen2.5-7B,False,True,489,0.0,0.6944785276073621,0.6584867075664622,0.0
Qwen2.5-7B,True,True,1495,1.0,0.803076923076923,0.8602006688963211,0.0
Qwen2.5-7B,False,False,1,1.0,0.8,1.0,0.0
