split,candidate_model,rows,correct_rows,incorrect_rows,score_correct_mean,score_incorrect_mean,mean_gap,auc,spearman_rho,spearman_p,incorrect_high_quality_rate,correct_low_quality_rate
abductive,Llama-3.1-8B,3970,2405,1565,0.7574220374220374,0.5759744408945687,0.18144759652746867,0.7180820043439852,0.3929469720865962,9.897900552648205e-147,0.4,0.1546777546777547
abductive,Qwen2.5-7B,3970,2849,1121,0.7855387855387855,0.6535236396074934,0.13201514593129215,0.6794292815702272,0.3138029244735471,1.9208030299602067e-91,0.56021409455843,0.09371709371709372
control,Llama-3.1-8B,300,275,25,0.8603636363636364,0.128,0.7323636363636364,0.9187636363636363,0.5207700304486805,2.9684789081649406e-22,0.04,0.14909090909090908
control,Qwen2.5-7B,300,300,0,0.9933333333333333,,,,,,,0.0033333333333333335
