split,outcome,clusters,mean_within_item_template_range,ci_low,ci_high,template_means,mean_absolute_centered_effect
abductive,trajectory_score,397,0.20642317380352648,0.19738035908977328,0.2154659885172797,"{'1': 0.751133501259446, '2': 0.7035264483627204, '3': 0.6919395465994961, '4': 0.7238035264483628, '5': 0.7149874055415618}",0.06445340050377835
abductive,is_correct,397,0.2512594458438287,0.23481502709541727,0.26770386459224016,"{'1': 0.690176322418136, '2': 0.6322418136020151, '3': 0.6693954659949622, '4': 0.6662468513853904, '5': 0.6505037783375315}",0.09143576826196474
control,trajectory_score,30,0.44499999999999995,0.4171128201960158,0.4728871798039841,"{'1': 0.9916666666666667, '2': 0.9933333333333334, '3': 0.9716666666666668, '4': 0.97, '5': 0.555}",0.13853333333333334
control,is_correct,30,0.20833333333333334,0.14786774740091208,0.2687989192657546,"{'1': 1.0, '2': 0.9916666666666667, '3': 0.9833333333333333, '4': 1.0, '5': 0.8166666666666667}",0.06666666666666667
